TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,_ids,link_to_ct_gov
,1,conversion therapy,FALSE,2,FALSE,TRUE,"{'NCT04241523', 'NCT04267549'}",NCT04241523
1,,dual-car-t cells,FALSE,2,FALSE,FALSE,"{'NCT04260932', 'NCT04260945'}",NCT04260932
,1,deprivation therapy,FALSE,2,FALSE,TRUE,"{'NCT04248621', 'NCT04267887'}",NCT04248621
,1,g-csf,FALSE,2,FALSE,FALSE,"{'NCT04248595', 'NCT04254640'}",NCT04248595
,1,ra-223,FALSE,2,FALSE,FALSE,"{'NCT04232761', 'NCT04256993'}",NCT04232761
,1,tkis,FALSE,2,FALSE,FALSE,"{'NCT04260113', 'NCT04274231'}",NCT04260113
1,,telaglenastat,FALSE,2,FALSE,FALSE,"{'NCT04250545', 'NCT04265534'}",NCT04250545
,1,bcma-targeted,FALSE,2,FALSE,FALSE,"{'NCT04272151', 'NCT04271644'}",NCT04272151
1,,erbium doped yttrium aluminum garnet laser,FALSE,1,FALSE,FALSE,{'NCT04277949'},NCT04277949
1,,cyclobutane,FALSE,1,FALSE,FALSE,{'NCT04277949'},NCT04277949
,1,:yag),FALSE,1,FALSE,FALSE,{'NCT04277949'},NCT04277949
1,,cxcr4wt,FALSE,1,FALSE,FALSE,{'NCT04263480'},NCT04263480
,1,bronchopulmonary,TRUE,1,FALSE,FALSE,{'NCT04261725'},NCT04261725
,1,isa,FALSE,1,FALSE,FALSE,{'NCT04270149'},NCT04270149
1,,hmpl-306,FALSE,1,FALSE,FALSE,{'NCT04272957'},NCT04272957
,1,following,FALSE,1,FALSE,FALSE,{'NCT04270149'},NCT04270149
,1,cancer peptides,FALSE,1,FALSE,FALSE,{'NCT04270149'},NCT04270149
,1,ais,FALSE,1,FALSE,FALSE,{'NCT04240106'},NCT04240106
1,,indocyanine,FALSE,1,FALSE,FALSE,{'NCT04272372'},NCT04272372
,1,complete,TRUE,1,FALSE,FALSE,{'NCT04272372'},NCT04272372
,1,myd88mut,FALSE,1,FALSE,FALSE,{'NCT04263480'},NCT04263480
,1,decongestive therapy,FALSE,1,FALSE,TRUE,{'NCT04272372'},NCT04272372
,1,) t cells,FALSE,1,FALSE,FALSE,{'NCT04240808'},NCT04240808
,1,r/r),FALSE,1,FALSE,FALSE,{'NCT04240808'},NCT04240808
1,,al3810,FALSE,1,FALSE,FALSE,{'NCT04254471'},NCT04254471
1,,anthracycline,FALSE,1,FALSE,FALSE,{'NCT04248998'},NCT04248998
,1,cbr),FALSE,1,FALSE,FALSE,{'NCT04240106'},NCT04240106
,1,nanodoce,FALSE,1,FALSE,FALSE,{'NCT04260360'},NCT04260360
,1,ucd19,FALSE,1,FALSE,FALSE,{'NCT04240808'},NCT04240808
1,,lyt-100,FALSE,1,FALSE,FALSE,{'NCT04243837'},NCT04243837
,1,-targeted nex-,FALSE,1,FALSE,FALSE,{'NCT04231747'},NCT04231747
,1,afm24 monotherapy,FALSE,1,FALSE,TRUE,{'NCT04259450'},NCT04259450
,1,previous anticancer therapies,FALSE,1,FALSE,FALSE,{'NCT04259450'},NCT04259450
,1,afm24-101,FALSE,1,FALSE,FALSE,{'NCT04259450'},NCT04259450
1,,afm24,FALSE,1,FALSE,FALSE,{'NCT04259450'},NCT04259450
,1,cpi therapy,FALSE,1,FALSE,TRUE,{'NCT04278092'},NCT04278092
,1,photon radiation therapy,FALSE,1,FALSE,TRUE,{'NCT04278118'},NCT04278118
,1,a2ar,FALSE,1,FALSE,FALSE,{'NCT04280328'},NCT04280328
,1,-2a,FALSE,1,FALSE,FALSE,{'NCT04280328'},NCT04280328
,1,-prvi,FALSE,1,FALSE,FALSE,{'NCT04270929'},NCT04270929
,1,prvi,FALSE,1,FALSE,FALSE,{'NCT04270929'},NCT04270929
,1,template assisted ct-guided risi,FALSE,1,FALSE,FALSE,{'NCT04266327'},NCT04266327
,1,risi,FALSE,1,FALSE,FALSE,{'NCT04266327'},NCT04266327
,1,radiotherapy.3,FALSE,1,FALSE,TRUE,{'NCT04266327'},NCT04266327
1,,ferrotran,FALSE,1,FALSE,FALSE,{'NCT04261777'},NCT04261777
,1,h,FALSE,1,FALSE,FALSE,{'NCT04258111'},NCT04258111
,1,dcfpyl,FALSE,1,FALSE,FALSE,{'NCT04266392'},NCT04266392
,1,cd19-targeted nex-t,FALSE,1,FALSE,FALSE,{'NCT04231747'},NCT04231747
1,,btx-a51,FALSE,1,FALSE,FALSE,{'NCT04243785'},NCT04243785
1,,cc-97540,FALSE,1,FALSE,FALSE,{'NCT04231747'},NCT04231747
,1,pd-1 mab,FALSE,1,TRUE,FALSE,{'NCT04273100'},NCT04273100
1,,zimberelimab,FALSE,1,TRUE,FALSE,{'NCT04262856'},NCT04262856
,1,anti-angiogenic therapy,FALSE,1,FALSE,TRUE,{'NCT04273100'},NCT04273100
,1,pcr,FALSE,1,FALSE,FALSE,{'NCT04255056'},NCT04255056
1,,triapine,FALSE,1,FALSE,FALSE,{'NCT04234568'},NCT04234568
1,,rifaximin,FALSE,1,FALSE,FALSE,{'NCT04249622'},NCT04249622
,1,nk cell,FALSE,1,FALSE,FALSE,{'NCT04254419'},NCT04254419
,1,pi3k,FALSE,1,FALSE,FALSE,{'NCT04233697'},NCT04233697
,1,btx,FALSE,1,FALSE,FALSE,{'NCT04243785'},NCT04243785
,1,prescribed systemic therapy,FALSE,1,FALSE,TRUE,{'NCT04270149'},NCT04270149
1,,omidubicel,FALSE,1,FALSE,FALSE,{'NCT04260698'},NCT04260698
1,,ab154,FALSE,1,FALSE,FALSE,{'NCT04262856'},NCT04262856
1,,dimethylsulfoxide,FALSE,1,FALSE,FALSE,{'NCT04279535'},NCT04279535
,1,ca-4948 monotherapy,FALSE,1,FALSE,TRUE,{'NCT04278768'},NCT04278768
,1,oral therapy,FALSE,1,FALSE,TRUE,{'NCT04279405'},NCT04279405
,1,rh-es,FALSE,1,FALSE,FALSE,{'NCT04267978'},NCT04267978
,1,177-lu-,FALSE,1,FALSE,FALSE,{'NCT04261855'},NCT04261855
,1,radionuclide therapy,FALSE,1,FALSE,TRUE,{'NCT04261855'},NCT04261855
,1,topically,FALSE,1,FALSE,FALSE,{'NCT04261387'},NCT04261387
,1,lut014 gel,FALSE,1,FALSE,FALSE,{'NCT04261387'},NCT04261387
1,,car-t cd19,FALSE,1,FALSE,FALSE,{'NCT04257175'},NCT04257175
,1,cd19car,FALSE,1,FALSE,FALSE,{'NCT04257175'},NCT04257175
1,,foritinib succinate,FALSE,1,FALSE,FALSE,{'NCT04237805'},NCT04237805
1,,bgb-3245,FALSE,1,FALSE,FALSE,{'NCT04249843'},NCT04249843
1,,msb2311,FALSE,1,FALSE,FALSE,{'NCT04272944'},NCT04272944
,1,irradiated gm-csf,FALSE,1,FALSE,FALSE,{'NCT04239040'},NCT04239040
1,,ca-4948,FALSE,1,FALSE,FALSE,{'NCT04278768'},NCT04278768
1,,selitrectinib,FALSE,1,FALSE,FALSE,{'NCT04275960'},NCT04275960
1,,bay 2731954,FALSE,1,FALSE,FALSE,{'NCT04275960'},NCT04275960
1,,js004,FALSE,1,FALSE,FALSE,{'NCT04278859'},NCT04278859
,1,lymphocytes,FALSE,1,FALSE,FALSE,{'NCT04268108'},NCT04268108
,1,liquid,TRUE,1,FALSE,FALSE,{'NCT04268108'},NCT04268108
1,,dexmedetomidine,FALSE,1,FALSE,FALSE,{'NCT04266665'},NCT04266665
,1,gnx102 targeted,FALSE,1,FALSE,FALSE,{'NCT04250597'},NCT04250597
1,,gnx102,FALSE,1,FALSE,FALSE,{'NCT04250597'},NCT04250597
1,,mavorixafor,FALSE,1,FALSE,FALSE,{'NCT04274738'},NCT04274738
1,,abbv-184,FALSE,1,FALSE,FALSE,{'NCT04272203'},NCT04272203
1,,panda-vac,FALSE,1,FALSE,FALSE,{'NCT04266730'},NCT04266730
1,,vortioxetine,FALSE,1,FALSE,FALSE,{'NCT04253678'},NCT04253678
1,,ctx120,FALSE,1,FALSE,FALSE,{'NCT04244656'},NCT04244656
1,,gvax,FALSE,1,FALSE,FALSE,{'NCT04239040'},NCT04239040
1,,pds0101,FALSE,1,FALSE,FALSE,{'NCT04260126'},NCT04260126
1,,apg-2575,FALSE,1,FALSE,FALSE,{'NCT04260217'},NCT04260217
,1,her2 target therapy,FALSE,1,FALSE,TRUE,{'NCT04254263'},NCT04254263
1,,kd033,FALSE,1,FALSE,FALSE,{'NCT04242147'},NCT04242147
1,,tomivosertib,FALSE,1,FALSE,FALSE,{'NCT04261218'},NCT04261218
,1,becquerel,FALSE,1,FALSE,FALSE,{'NCT04267900'},NCT04267900
1,,ro7198457,FALSE,1,FALSE,FALSE,{'NCT04267237'},NCT04267237
1,,colchicine,FALSE,1,FALSE,FALSE,{'NCT04264260'},NCT04264260
