TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,_ids,link_to_ct_gov
,1,taxane,FALSE,8,FALSE,FALSE,"{'NCT03881878', 'NCT03858972', 'NCT03890744', 'NCT03838367', 'NCT03952325', 'NCT03817567', 'NCT03913234', 'NCT03899610'}",NCT03881878
,1,second,TRUE,6,FALSE,FALSE,"{'NCT03937895', 'NCT03958097', 'NCT03821870', 'NCT03886311', 'NCT03873532', 'NCT03801304'}",NCT03937895
,1,tmz,FALSE,5,FALSE,FALSE,"{'NCT03930771', 'NCT03832621', 'NCT03867123', 'NCT03935685', 'NCT03927222'}",NCT03930771
,1,deprivation therapy,FALSE,4,FALSE,TRUE,"{'NCT03920033', 'NCT03942653', 'NCT03899077', 'NCT03951831'}",NCT03920033
,1,rt,FALSE,4,FALSE,FALSE,"{'NCT03872505', 'NCT03883828', 'NCT03844763', 'NCT03867123'}",NCT03872505
,1,chemoradiation,FALSE,4,FALSE,FALSE,"{'NCT03940001', 'NCT03811002', 'NCT03796507', 'NCT03921684'}",NCT03940001
,1,tace,FALSE,4,FALSE,FALSE,"{'NCT03812874', 'NCT03905967', 'NCT03838796', 'NCT03791918'}",NCT03812874
1,,carvedilol,FALSE,4,FALSE,FALSE,"{'NCT03861598', 'NCT03980249', 'NCT04023110', 'NCT03879629'}",NCT03861598
,1,propofol,FALSE,3,FALSE,FALSE,"{'NCT03817359', 'NCT03812003', 'NCT03974984'}",NCT03817359
,1,radionuclide therapy,FALSE,3,FALSE,TRUE,"{'NCT03966651', 'NCT03936426', 'NCT04029428'}",NCT03966651
,1,lly,FALSE,3,FALSE,FALSE,"{'NCT03959085', 'NCT03888534', 'NCT03914625'}",NCT03959085
1,,inotuzumab,FALSE,3,TRUE,FALSE,"{'NCT03959085', 'NCT03851081', 'NCT03856216'}",NCT03959085
1,,ozogamicin,FALSE,3,FALSE,FALSE,"{'NCT03851081', 'NCT03904251', 'NCT03856216'}",NCT03851081
,1,iodine,FALSE,3,FALSE,FALSE,"{'NCT03914300', 'NCT03830788', 'NCT03980132'}",NCT03914300
1,,allo-hsct,FALSE,3,FALSE,FALSE,"{'NCT03967665', 'NCT03964922', 'NCT03799224'}",NCT03967665
,1,yttrium-90,FALSE,3,FALSE,FALSE,"{'NCT03802747', 'NCT03812562', 'NCT04029428'}",NCT03802747
1,,anthracycline,FALSE,3,FALSE,FALSE,"{'NCT03820908', 'NCT03908528', 'NCT03876028'}",NCT03820908
,1,oxygen,FALSE,3,FALSE,FALSE,"{'NCT03916068', 'NCT03964506', 'NCT03843671'}",NCT03916068
,1,immume,TRUE,2,FALSE,FALSE,"{'NCT03950271', 'NCT03939962'}",NCT03950271
,1,pf,FALSE,2,FALSE,FALSE,"{'NCT03854227', 'NCT03840421'}",NCT03854227
1,"
",gemtuzumab,FALSE,2,TRUE,FALSE,"{'NCT03904251', 'NCT03878927'}",NCT03904251
1,,hc-1119,FALSE,2,FALSE,FALSE,"{'NCT03850795', 'NCT03851640'}",NCT03850795
1,,tj202,FALSE,2,FALSE,FALSE,"{'NCT03952091', 'NCT03860038'}",NCT03952091
,1,pelvic radiation therapy,FALSE,2,FALSE,TRUE,"{'NCT04030000', 'NCT03834571'}",NCT04030000
,1,radical surgery,FALSE,2,FALSE,FALSE,"{'NCT03813641', 'NCT03792867'}",NCT03813641
,1,nab,FALSE,2,FALSE,FALSE,"{'NCT03816163', 'NCT03802058'}",NCT03816163
1,,remifentanil,FALSE,2,FALSE,FALSE,"{'NCT03817359', 'NCT03812003'}",NCT03817359
1,,tenofovir,FALSE,2,FALSE,FALSE,"{'NCT03804372', 'NCT03957629'}",NCT03804372
1,,bupivacaine,FALSE,2,FALSE,FALSE,"{'NCT03870685', 'NCT03871478'}",NCT03870685
,1,platinum-,FALSE,2,FALSE,FALSE,"{'NCT03945227', 'NCT03898180'}",NCT03945227
,1,zinc,FALSE,2,FALSE,FALSE,"{'NCT03824925', 'NCT03898102'}",NCT03824925
,1,prior systemic therapy,FALSE,2,FALSE,TRUE,"{'NCT03829332', 'NCT03888105'}",NCT03829332
,1,hpv vaccination,FALSE,2,FALSE,FALSE,"{'NCT03953911', 'NCT03947775'}",NCT03953911
,1,dexmedetomidine,FALSE,2,FALSE,FALSE,"{'NCT03936205', 'NCT03960775'}",NCT03936205
1,,losartan,FALSE,2,FALSE,FALSE,"{'NCT03900793', 'NCT03951142'}",NCT03900793
,1,lentiviral,TRUE,2,FALSE,FALSE,"{'NCT03811457', 'NCT03938987'}",NCT03811457
,1,combine,FALSE,2,FALSE,FALSE,"{'NCT03851887', 'NCT03946358'}",NCT03851887
,1,peritoneum,FALSE,2,FALSE,FALSE,"{'NCT03834272', 'NCT03839524'}",NCT03834272
1,,gb226,FALSE,2,FALSE,FALSE,"{'NCT03977090', 'NCT03976856'}",NCT03977090
1,,genolimzumab,FALSE,2,TRUE,FALSE,"{'NCT03977090', 'NCT03976856'}",NCT03977090
,1,conventional radiation therapy,FALSE,2,FALSE,TRUE,"{'NCT03920033', 'NCT03956706'}",NCT03920033
1,,cedazuridine,FALSE,2,FALSE,FALSE,"{'NCT03875287', 'NCT03813186'}",NCT03875287
,1,pd-1 inhibitors,FALSE,2,FALSE,FALSE,"{'NCT03939975', 'NCT03966209'}",NCT03939975
