TP,Add_to_black_list,FP,candidate,ADJ,count_nct,is_mab,is_therapy,sentence,sents,_ids,link_to_ct_gov
1,,,ibi188,FALSE,2,FALSE,FALSE,The study is to evaluate safety， tolerability and composite CR of IBI188 plus azacitidine in acute myeloid leukemia,"{'The study is to evaluate safety， tolerability and composite CR of IBI188 plus azacitidine in acute myeloid leukemia', 'The study is to evaluate safety and efficacy of IBI188 in combination with azacitidine (AZA) as a first-line treatment in subjects with newly diagnosed higher risk myelodysplastic syndrome', 'A Phase Ib Study Evaluating the Safety and Efficacy of IBI188 in Combination With Azacitidine in Subjects With Newly Diagnosed Higher Risk Myelodysplastic Syndrome.', 'A Phase Ib Study Evaluating the Safety and Efficacy of IBI188 in Combination With Azacitidine in Subjects With Acute Myeloid Leukemia.'}","{'NCT04485065', 'NCT04485052'}",NCT04485065
1,,,fluropyrimidine,FALSE,1,FALSE,FALSE,"This is a randomized, double-blinded, multicenter study to evaluate the efficacy and safety of HX008 injection combined with irinotecan versus placebo combined with irinotecan as second-line therapy in patients with adcanced gastric or gastroesophageal junction (GEJ) adenocarcinoma who have had tumor progression after first-line treatment with platinum and/or fluropyrimidine therapy","{'This is a randomized, double-blinded, multicenter study to evaluate the efficacy and safety of HX008 injection combined with irinotecan versus placebo combined with irinotecan as second-line therapy in patients with adcanced gastric or gastroesophageal junction (GEJ) adenocarcinoma who have had tumor progression after first-line treatment with platinum and/or fluropyrimidine therapy'}",{'NCT04486651'},NCT04486651
1,,,68gallium psma-11,FALSE,1,FALSE,FALSE,The Role of 68Gallium PSMA-11 in Biochemical Recurrence in Prostate Cancer and in Known Metastatic Prostate Cancer and in the Evaluation of Treatment Response After Salvage Therapy.,{'The Role of 68Gallium PSMA-11 in Biochemical Recurrence in Prostate Cancer and in Known Metastatic Prostate Cancer and in the Evaluation of Treatment Response After Salvage Therapy.'},{'NCT04483414'},NCT04483414
,,1,aromatase,FALSE,1,FALSE,FALSE,"The aim of this study is to asses the Recommended Phase 2 Dose (R2PD) and the safety profile, among other efficacy, in FGFR1/2/3 positive, hormone receptor-positive breast cancer (HRPBC) patients with metastatic disease after progression to the combination of an aromatase inhibitor plus palbociclib, abemaciclib or ribociclib, according RECIST 1.1 criteria","{'The aim of this study is to asses the Recommended Phase 2 Dose (R2PD) and the safety profile, among other efficacy, in FGFR1/2/3 positive, hormone receptor-positive breast cancer (HRPBC) patients with metastatic disease after progression to the combination of an aromatase inhibitor plus palbociclib, abemaciclib or ribociclib, according RECIST 1.1 criteria'}",{'NCT04483505'},NCT04483505
,1,,antisense oligonucleotide,FALSE,1,FALSE,FALSE,"A Randomized, Multicenter, Double-Blind, Placebo-Controlled, Phase 2b Study to Assess the Safety and Efficacy of IGV-001, an Autologous Cell Immunotherapy With Antisense Oligonucleotide (IMV-001) Targeting IGF-1R, in Newly Diagnosed Patients With Glioblastoma Multiforme - the ImmuneSense Study.","{'A Randomized, Multicenter, Double-Blind, Placebo-Controlled, Phase 2b Study to Assess the Safety and Efficacy of IGV-001, an Autologous Cell Immunotherapy With Antisense Oligonucleotide (IMV-001) Targeting IGF-1R, in Newly Diagnosed Patients With Glioblastoma Multiforme - the ImmuneSense Study.'}",{'NCT04485949'},NCT04485949
1,,,igv-001,FALSE,1,FALSE,FALSE,"A Randomized, Multicenter, Double-Blind, Placebo-Controlled, Phase 2b Study to Assess the Safety and Efficacy of IGV-001, an Autologous Cell Immunotherapy With Antisense Oligonucleotide (IMV-001) Targeting IGF-1R, in Newly Diagnosed Patients With Glioblastoma Multiforme - the ImmuneSense Study.","{'A Randomized, Multicenter, Double-Blind, Placebo-Controlled, Phase 2b Study to Assess the Safety and Efficacy of IGV-001, an Autologous Cell Immunotherapy With Antisense Oligonucleotide (IMV-001) Targeting IGF-1R, in Newly Diagnosed Patients With Glioblastoma Multiforme - the ImmuneSense Study.', 'The purpose of this study is to assess progression-free survival (PFS) in newly diagnosed Glioblastoma Multiforme (GBM) participants treated with IGV-001 as compared with placebo'}",{'NCT04485949'},NCT04485949
1,,,tqb3454,FALSE,1,FALSE,FALSE,"This is a open-label, multicenter, phase I study to evaluate tolerance and pharmacokinetics of TQB3454 tablets in subjects with advanced solid tumor or hematologic tumor","{'This is a open-label, multicenter, phase I study to evaluate tolerance and pharmacokinetics of TQB3454 tablets in subjects with advanced solid tumor or hematologic tumor', 'A Phase I, Open-label, Dose Escalation and Expansion Study to Evaluate the Tolerance, Efficacy and Pharmacokinetics of TQB3454 Tablets.'}",{'NCT04481607'},NCT04481607
,1,,68ga-psma-11,FALSE,1,FALSE,FALSE,This study proposes to use Gallium-68-PSMA-11 (68Ga-PSMA-11) Positron Emission Tomography / Computer Tomography (PET/CT) scans which targets prostate-specific membrane antigens (PSMA) to detect where in the body the prostate cancer has recurred,"{'This study proposes to use Gallium-68-PSMA-11 (68Ga-PSMA-11) Positron Emission Tomography / Computer Tomography (PET/CT) scans which targets prostate-specific membrane antigens (PSMA) to detect where in the body the prostate cancer has recurred', '68Ga-PSMA-11 Positron Emission Tomography / Computed Tomography (PET/CT) for Assessment of High Risk or Recurrent Prostate Cancer.'}",{'NCT04484701'},NCT04484701
,1,,gallium-68-psma-11,FALSE,1,FALSE,FALSE,This study proposes to use Gallium-68-PSMA-11 (68Ga-PSMA-11) Positron Emission Tomography / Computer Tomography (PET/CT) scans which targets prostate-specific membrane antigens (PSMA) to detect where in the body the prostate cancer has recurred,{'This study proposes to use Gallium-68-PSMA-11 (68Ga-PSMA-11) Positron Emission Tomography / Computer Tomography (PET/CT) scans which targets prostate-specific membrane antigens (PSMA) to detect where in the body the prostate cancer has recurred'},{'NCT04484701'},NCT04484701
,1,,b-pd,FALSE,1,FALSE,FALSE,"A Phase III, Multicenter, Open-Label, Randomized Study to Evaluate the Efficacy and Safety of Belantamab Mafodotin in Combination With Pomalidomide and Dexamethasone (B-Pd) Versus Pomalidomide Plus Bortezomib and Dexamethasone (PVd) in Participants With Relapsed/Refractory Multiple Myeloma (DREAMM 8).","{'A Phase III, Multicenter, Open-Label, Randomized Study to Evaluate the Efficacy and Safety of Belantamab Mafodotin in Combination With Pomalidomide and Dexamethasone (B-Pd) Versus Pomalidomide Plus Bortezomib and Dexamethasone (PVd) in Participants With Relapsed/Refractory Multiple Myeloma (DREAMM 8).'}",{'NCT04484623'},NCT04484623
