TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,found_in_Avicenna,nct_ids
,1,radiation,FALSE,3,FALSE,FALSE,,"{'NCT04037527', 'NCT04047303', 'NCT04049669'}"
,1,platinum,FALSE,3,FALSE,FALSE,,"{'NCT04042558', 'NCT04059887', 'NCT04056949'}"
,,nivolumab,FALSE,3,TRUE,FALSE,Nivolumab,"{'NCT04047706', 'NCT04050085', 'NCT04040231'}"
,1,radiosurgery,FALSE,2,FALSE,FALSE,,"{'NCT04047602', 'NCT04042220'}"
,,usual,TRUE,2,FALSE,FALSE,,"{'NCT04052555', 'NCT04037254'}"
1,,ak112,FALSE,1,FALSE,FALSE,,{'NCT04047290'}
1,,allo-hct,FALSE,1,FALSE,FALSE,,{'NCT04055844'}
1,,wztl-002,FALSE,1,FALSE,FALSE,,{'NCT04049513'}
,1,car t-cells,FALSE,1,FALSE,FALSE,,{'NCT04049513'}
,1,cyp17,FALSE,1,FALSE,FALSE,,{'NCT04056754'}
,,neoadjuvant anti-pd-1 therapy,FALSE,1,FALSE,TRUE,,{'NCT04047186'}
,1,cd19,FALSE,1,FALSE,FALSE,,{'NCT04052061'}
,1,cd19 t,FALSE,1,FALSE,FALSE,,{'NCT04052061'}
,1,fecal microbiota transplantation,FALSE,1,FALSE,FALSE,,{'NCT04038619'}
,,trastuzumab deruxtecan,FALSE,1,TRUE,FALSE,Trastuzumab|Trastuzumab deruxtecan,{'NCT04042701'}
1,0,donafenib,FALSE,1,FALSE,FALSE,,{'NCT04059874'}
,1,combined treatment,FALSE,1,FALSE,FALSE,,{'NCT04059874'}
,,above therapy,FALSE,1,FALSE,TRUE,,{'NCT04059874'}
,1,hank,FALSE,1,FALSE,FALSE,,{'NCT04052061'}
,1,19-t,FALSE,1,FALSE,FALSE,,{'NCT04049383'}
,,platinum based therapy,FALSE,1,FALSE,TRUE,,{'NCT04050761'}
,1,ici,FALSE,1,FALSE,FALSE,,{'NCT04037462'}
,1,per physician,FALSE,1,FALSE,FALSE,,{'NCT04059484'}
1,0,doxorucibin,FALSE,1,FALSE,FALSE,,{'NCT04055753'}
,1,topo2a,FALSE,1,FALSE,FALSE,,{'NCT04055753'}
,,planned therapy,FALSE,1,FALSE,TRUE,,{'NCT04055753'}
1,0,nt-i7,FALSE,1,FALSE,FALSE,,{'NCT04054752'}
,1,dex,FALSE,1,FALSE,FALSE,,{'NCT04037462'}
,,sbar + radium-223,FALSE,1,FALSE,FALSE,Radium 223 Dichloride,{'NCT04037358'}
,,platinum-based therapy,FALSE,1,FALSE,TRUE,,{'NCT04050761'}
,1,soc,FALSE,1,FALSE,FALSE,,{'NCT04046445'}
1,0,atp128,FALSE,1,FALSE,FALSE,,{'NCT04046445'}
1,0,bi 754091,FALSE,1,FALSE,FALSE,,{'NCT04046445'}
1,0,bi 754091 -,FALSE,1,FALSE,FALSE,,{'NCT04046445'}
,,talazoparib,FALSE,1,FALSE,FALSE,Talazoparib,{'NCT04039230'}
1,,car-20/19-t,FALSE,1,FALSE,FALSE,,{'NCT04049383'}
,1,stem cell transplant,FALSE,1,FALSE,FALSE,,{'NCT04044560'}
,,local ablation therapy,FALSE,1,FALSE,TRUE,,{'NCT04047173'}
1,0,e7 tcr t,FALSE,1,FALSE,FALSE,,{'NCT04044950'}
,,tofacitinib,FALSE,1,FALSE,FALSE,Tofacitinib,{'NCT04034238'}
,1,trys,FALSE,1,FALSE,FALSE,,{'NCT04044378'}
,,camrelizumab,FALSE,1,TRUE,FALSE,Camrelizumab,{'NCT04044378'}
1,0,shr-1316,FALSE,1,FALSE,FALSE,,{'NCT04041011'}
1,0,fluzoparib（shr-3162）,FALSE,1,FALSE,FALSE,,{'NCT04041011'}
,1,gamma,FALSE,1,FALSE,FALSE,,{'NCT04042220'}
,1,knife radiosurgical,FALSE,1,FALSE,FALSE,,{'NCT04042220'}
,1,gamma knife,FALSE,1,FALSE,FALSE,,{'NCT04042220'}
,1,tt),FALSE,1,FALSE,FALSE,,{'NCT04042220'}
,1,it,FALSE,1,FALSE,FALSE,,{'NCT04042220'}
,,double,TRUE,1,FALSE,FALSE,,{'NCT04054089'}
1,0,lamivudine,FALSE,1,FALSE,FALSE,,{'NCT04054089'}
1,,dolutegravir,FALSE,1,FALSE,FALSE,,{'NCT04054089'}
,,mono- therapy,FALSE,1,FALSE,TRUE,,{'NCT04054089'}
,,-based therapy,FALSE,1,FALSE,TRUE,,{'NCT04054089'}
,1,l1 t,FALSE,1,FALSE,FALSE,,{'NCT04050709'}
,1,immune checkpoint inhibitor,FALSE,1,FALSE,FALSE,,{'NCT04047602'}
,1,ici),FALSE,1,FALSE,FALSE,,{'NCT04047602'}
1,0,rogaratinib,FALSE,1,FALSE,FALSE,,{'NCT04040725'}
,1,ff,FALSE,1,FALSE,FALSE,,{'NCT04047251'}
,1,saftey,FALSE,1,FALSE,FALSE,,{'NCT04044378'}
1,0,shr1020,FALSE,1,FALSE,FALSE,,{'NCT04044378'}
1,,bgb-a1217,FALSE,1,TRUE,FALSE,,{'NCT04047862'}
,,crizotinib,FALSE,1,FALSE,FALSE,Crizotinib,{'NCT04056572'}
,1,mesothelin,FALSE,1,FALSE,FALSE,,{'NCT04034238'}
1,,prior exposure,FALSE,1,FALSE,FALSE,,{'NCT04059484'}
1,0,2141-v11,FALSE,1,TRUE,FALSE,,{'NCT04059588'}
,1,v11,FALSE,1,FALSE,FALSE,,{'NCT04059588'}
,,paclitaxel,FALSE,1,FALSE,FALSE,Paclitaxel,{'NCT04056949'}
,,second-line therapy,FALSE,1,FALSE,TRUE,,{'NCT04056949'}
1,0,derazantinib,FALSE,1,FALSE,FALSE,,{'NCT04045613'}
1,,danazol,FALSE,1,FALSE,FALSE,,{'NCT04058678'}
,,sequential combination therapy,FALSE,1,FALSE,TRUE,,{'NCT04049344'}
,1,ipilumumab,FALSE,1,TRUE,FALSE,,{'NCT04043195'}
1,,opdivo®,FALSE,1,FALSE,FALSE,,{'NCT04043195'}
1,,yervoy®,FALSE,1,FALSE,FALSE,,{'NCT04043195'}
,1,cessation,FALSE,1,FALSE,FALSE,,{'NCT04043676'}
,,mp0310,FALSE,1,FALSE,FALSE,MP0310,{'NCT04049903'}
1,0,rbn-2397,FALSE,1,FALSE,FALSE,,{'NCT04053673'}
,1,s-pbi,FALSE,1,FALSE,FALSE,,{'NCT04040569'}
