TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,nct_ids
1,,ibrutinib,FALSE,1,FALSE,FALSE,{'NCT04062448'}
,1,total neoadjuvant therapy,FALSE,1,FALSE,TRUE,{'NCT04062058'}
1,0,hs-10342,FALSE,1,FALSE,FALSE,{'NCT04060511'}
1,0,sndx-5613,FALSE,1,FALSE,FALSE,{'NCT04065399'}
1,0,sndx 5613,FALSE,1,FALSE,FALSE,{'NCT04065399'}
0,1,augment,FALSE,1,FALSE,FALSE,{'NCT04065399'}
0,1,local,TRUE,1,FALSE,FALSE,{'NCT04065152'}
0,1,systemic,TRUE,1,FALSE,FALSE,{'NCT04065152'}
0,0,pd-l1 axis inhibitors,FALSE,1,FALSE,FALSE,{'NCT04065152'}
0,1,be,FALSE,1,FALSE,FALSE,{'NCT04065152'}
0,1,ip,FALSE,1,FALSE,FALSE,{'NCT04065139'}
0,1,focal radiation therapy,FALSE,1,FALSE,TRUE,{'NCT04065776'}
0,1,photon therapy,FALSE,1,FALSE,TRUE,{'NCT04065776'}
0,1,ha,FALSE,1,FALSE,FALSE,{'NCT04065776'}
0,1,radical cystectomy,FALSE,1,FALSE,FALSE,{'NCT04060459'}
1,0,vactosertib,FALSE,1,FALSE,FALSE,{'NCT04064190'}
0,1,gc,FALSE,1,FALSE,FALSE,{'NCT04059081'}
,1,advanced,FALSE,1,FALSE,FALSE,{'NCT04062058'}
1,,dexamethsone,FALSE,1,FALSE,FALSE,{'NCT04065425'}
,1,aza,FALSE,1,FALSE,FALSE,{'NCT04062266'}
,1,anti-cancer therapy,FALSE,1,FALSE,TRUE,{'NCT04064359'}
1,0,obt076,FALSE,1,FALSE,FALSE,{'NCT04064359'}
,1,chemitherapy,FALSE,1,FALSE,TRUE,{'NCT04065308'}
?,1,dcep,FALSE,1,FALSE,FALSE,{'NCT04065308'}
1,,daratumumnab,FALSE,1,FALSE,FALSE,{'NCT04065308'}
,1,rehabilitation,FALSE,1,FALSE,FALSE,{'NCT04063293'}
1,,elotuzumab,FALSE,1,TRUE,FALSE,{'NCT04065425'}
1,,tak-981,FALSE,1,FALSE,FALSE,{'NCT04065555'}
,1,drugs,FALSE,1,FALSE,FALSE,{'NCT04065425'}
1,,propofol,FALSE,1,FALSE,FALSE,{'NCT04065009'}
,1,pp,FALSE,1,FALSE,FALSE,{'NCT04063449'}
,1,tak-,FALSE,1,FALSE,FALSE,{'NCT04065555'}
,1,civo,FALSE,1,FALSE,FALSE,{'NCT04065555'}
,1,ddp,FALSE,1,FALSE,FALSE,{'NCT04063683'}
