TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,nct_ids
,1,jzp025-101,FALSE,1,FALSE,FALSE,{'NCT04075747'}
1,,fg-4592,FALSE,1,FALSE,FALSE,{'NCT04076943'}
,1,roxadustat,FALSE,1,FALSE,FALSE,{'NCT04076943'}
1,,m3258,FALSE,1,FALSE,FALSE,{'NCT04075721'}
,1,capsules,FALSE,1,FALSE,FALSE,{'NCT04080843'}
,1,wild,TRUE,1,FALSE,FALSE,{'NCT04080843'}
,1,1st therapy,FALSE,1,FALSE,TRUE,{'NCT04080843'}
,1,dep regimen induction therapy,FALSE,1,FALSE,TRUE,{'NCT04077905'}
1,,xl184,FALSE,1,FALSE,FALSE,{'NCT04079712'}
,,-tki,FALSE,1,FALSE,FALSE,{'NCT04077463'}
1,1,jnj-73841937,FALSE,1,FALSE,FALSE,{'NCT04077463'}
1,,lazertinib,FALSE,1,FALSE,FALSE,{'NCT04077463'}
1,,e7389-lf,FALSE,1,FALSE,FALSE,{'NCT04078295'}
1,,e7389,FALSE,1,FALSE,FALSE,{'NCT04078295'}
,1,lf,FALSE,1,FALSE,FALSE,{'NCT04078295'}
,1,asp7517,FALSE,1,FALSE,FALSE,{'NCT04079296'}
