TP,Add_to_black_list,candidate,ADJ,count_nct,is_mab,is_therapy,nct_ids,link_to_ct_gov
,1,cdk4,FALSE,1,FALSE,FALSE,{'NCT04095390'},NCT04095390
,1,unresectable,TRUE,1,FALSE,FALSE,{'NCT04092283'},NCT04092283
,1,ptvg,FALSE,1,FALSE,FALSE,{'NCT04090528'},NCT04090528
,1,nct02438839,FALSE,1,FALSE,FALSE,{'NCT04095299'},NCT04095299
1,,bay1895344,FALSE,1,FALSE,FALSE,{'NCT04095273'},NCT04095273
1,,galeterone,FALSE,1,FALSE,FALSE,{'NCT04098081'},NCT04098081
,1,10x2gy,FALSE,1,FALSE,FALSE,{'NCT04097067'},NCT04097067
,1,consolidative therapy,FALSE,1,FALSE,TRUE,{'NCT04092283'},NCT04092283
1,,cd22 car-t cells,FALSE,1,FALSE,FALSE,{'NCT04094766'},NCT04094766
,1,d3,FALSE,1,FALSE,FALSE,{'NCT04094688'},NCT04094688
,1,radio(chemo)therapy,FALSE,1,FALSE,TRUE,{'NCT04095468'},NCT04095468
,1,ccr,FALSE,1,FALSE,FALSE,{'NCT04095468'},NCT04095468
,1,radio,FALSE,1,FALSE,FALSE,{'NCT04095468'},NCT04095468
,1,chemo)therapy,FALSE,1,FALSE,TRUE,{'NCT04095468'},NCT04095468
"
",1,cc-95775-st-001,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
1,,cc-95775,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
,1,1b,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
,1,labcc,FALSE,1,FALSE,FALSE,{'NCT04089527'},NCT04089527
,1,dual specificity,FALSE,1,FALSE,FALSE,{'NCT04094766'},NCT04094766
1,,adc1,FALSE,1,FALSE,FALSE,{'NCT04093323'},NCT04093323
,1,dendritic cell,FALSE,1,FALSE,FALSE,{'NCT04093323'},NCT04093323
,1,interferon alpha-,FALSE,1,FALSE,FALSE,{'NCT04093323'},NCT04093323
1,,capoxiri+bev therapy,FALSE,1,FALSE,TRUE,{'NCT04097444'},NCT04097444
1,,tipiracil,FALSE,1,FALSE,FALSE,{'NCT04097028'},NCT04097028
,1,gene therapy,FALSE,1,FALSE,TRUE,{'NCT04095689'},NCT04095689
,1,peritoneum,FALSE,1,FALSE,FALSE,{'NCT04095364'},NCT04095364
1,,rh-endostatin�ｼ�endostar�ｼ営ombined,FALSE,1,FALSE,FALSE,{'NCT04094909'},NCT04094909
1,,-endostatin�ｼ�endostar�ｼ営ombined,FALSE,1,FALSE,FALSE,{'NCT04094909'},NCT04094909
,1,ec -thp,FALSE,1,FALSE,FALSE,{'NCT04094896'},NCT04094896
,1,docetaxe,FALSE,1,FALSE,FALSE,{'NCT04094896'},NCT04094896
,1,thp,FALSE,1,FALSE,FALSE,{'NCT04094896'},NCT04094896
,1,tchp,FALSE,1,FALSE,FALSE,{'NCT04094896'},NCT04094896
1,,repotrectinib,FALSE,1,FALSE,FALSE,{'NCT04094610'},NCT04094610
,1,p-gp,FALSE,1,FALSE,FALSE,{'NCT04094519'},NCT04094519
,1,p-gp substrate,FALSE,1,FALSE,FALSE,{'NCT04094519'},NCT04094519
1,,kanitinib,FALSE,1,FALSE,FALSE,{'NCT04093466'},NCT04093466
1,,cx1003,FALSE,1,FALSE,FALSE,{'NCT04093466'},NCT04093466
1,,futibatinib,FALSE,1,FALSE,FALSE,{'NCT04093362'},NCT04093362
,,dendritic,TRUE,1,FALSE,FALSE,{'NCT04093323'},NCT04093323
1,,asp1948,FALSE,1,FALSE,FALSE,{'NCT04094506'},NCT04094506
